Numéro du puits,Nom du puits,Année forage,Région géologique,Lot,Rang,Canton,Paroisse,Localisation,Latitude (NAD83),Latitude (décimal),Longitude (NAD83),Longitude (décimal),No carte,No permis,Profondeur,Profondeur (en m),Elévation sol,Élévation (en m),Élévation table rotation,Élévation de la table de rotation (en m),Dernière activité de puits,Dernière phase de puits,Statut puits,État du puits,Contenu du puits,Type puits,Détenteur,Partenaires,Opérateur,Implanté sur,Entreprise forage,Type foreuse,Log composite,Confidentiel jusqu'au,Municipalité,Région administrative,Localité
A107,Québec Fuel No 4,1909,A-Basses-Terres (sols consolidés),202,,,Verchères,,"45° 46' 22,1""",45.772806,"73° 21' 58,5""",-73.36625,31H14,n.d.,2300 pi/KB,701.04,31.0 pi/mer,9.45,33.0 pi/mer,10.06,Forage,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,The Quebec Fuel Company,n.d.,,Câble,Non,,Verchères,Montérégie,Verchères
A108,Saint-Hyacinthe No 1,1956,A-Basses-Terres (sols consolidés),207,Salvaille Nord,,Présentation,,"45° 43' 33,1""",45.725861,"73° 02' 27,4""",-73.040944,31H11,n.d.,1375 pi/KB,419.1,93.0 pi/mer,28.35,95.0 pi/mer,28.96,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Quebec Lowlands Gas & Oil Ltd.,n.d.,Rawlings Drilling Co.,Câble,Non,,La Présentation,Montérégie,Saint-Jude
A109,"Richelieu Gas, Saint-Denis No 2",1931,A-Basses-Terres (sols consolidés),549,,,Saint-Denis,,"45° 44' 53,1""",45.748083,"73° 08' 20,5""",-73.139028,31H11,6413,4140 pi/KB,1261.87,64.0 pi/mer,19.51,66.0 pi/mer,20.12,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Richelieu Gas Co.,n.d.,The Hope Engineering Co.,Câble,Non,,Saint-Denis-sur-Richelieu,Montérégie,Saint-Antoine-sur-Richelieu
A110,Saint-Élie-de-Caxton No 2,1940,A-Basses-Terres (sols consolidés),10,IV,Caxton,Saint-Élie,"About 2200 ft. South-East of the church, Comté de Saint-Maurice","46° 29' 18,1""",46.488361,"72° 57' 02,4""",-72.950667,31I07,n.d.,1015 pi/sol,309.37,n.d.,n.d.,n.d.,n.d.,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Les Mines d'Huile et Pétrole Tremblay-Joubert,n.d.,Edmond Côté,Câble,Non,,Saint-Élie-de-Caxton,Mauricie,Saint-Élie
A111,"Saint-John Petroleum co., Saint-Hubert No 1",1947,A-Basses-Terres (sols consolidés),26,,,Saint-Hubert,,"45° 30' 47,1""",45.513083,"73° 25' 54,5""",-73.431806,31H11,15282,4085 pi/KB,1245.11,94.0 pi/mer,28.65,96.0 pi/mer,29.26,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,St. Johns Petroleum Co.,n.d.,St. Johns Petroleum Co.,n.d.,J.L. Ashton,Câble,Non,,Longueuil,Montérégie,Saint-Hubert
A112,Saint-Lawrence River No 1,1955,A-Basses-Terres (sols consolidés),343,,,Saint-Timothée,,"45° 16' 26,1""",45.273917,"74° 01' 04,6""",-74.017944,31G08,24434,2402 pi/KB,732.13,161.0 pi/mer,49.07,163.0 pi/mer,49.68,Suspension,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,St. Lawrence River Oil Co.,n.d.,St. Lawrence River Oil Co.,n.d.,St. Lambert Drilling Co.,Rotative,Non,,Salaberry-de-Valleyfield,Montérégie,Saint-Timothée
A113,Sainte-Madeleine No 1,1917,A-Basses-Terres (sols consolidés),93,,,Sainte-Madeleine,Comté de Saint-Hyacinthe,"45° 34' 55,1""",45.581972,"73° 00' 01,5""",-73.000417,31H11,n.d.,525 pi/KB,160.02,112.0 pi/mer,34.14,114.0 pi/mer,34.75,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,n.d.,n.d.,,Câble,Non,,Sainte-Marie-Madeleine,Montérégie,Saint-Damase
A114,Saint-Philippe No 1,1933,A-Basses-Terres (sols consolidés),531,Saint-Philippe,,Saint-Henri-de-Mascouche,,"45° 47' 35,1""",45.793083,"73° 36' 04,5""",-73.60125,31H13,n.d.,445 pi/KB,135.64,149.0 pi/mer,45.42,151.0 pi/mer,46.02,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,St. Paul Oil and Gas Corporation Ltd.,n.d.,,Câble,Non,,Mascouche,Lanaudière,Mascouche
A115,Sainte-Rosalie No 1,1954,A-Basses-Terres (sols consolidés),247,,,Sainte-Rosalie,,"45° 38' 33,1""",45.642528,"72° 51' 16,4""",-72.854556,31H10,n.d.,3569 pi/sol,1087.83,162.0 pi/mer,49.38,164.0 pi/mer,49.99,Suspension,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,Yvon Burelle,Yvon L'Heureux,n.d.,Roméo Turcotte,Carottage minier,Non,,Saint-Hyacinthe,Montérégie,Saint-Liboire
A116,Sainte-Rosalie No 2,1955,A-Basses-Terres (sols consolidés),249,Quatrième Rang,,Sainte-Rosalie,,"45° 38' 37,1""",45.643639,"72° 51' 32,4""",-72.859,31H10,n.d.,2700 pi/KB,822.96,158.0 pi/mer,48.16,160.0 pi/mer,48.77,Suspension,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,Yvon Burelle,Yvon L'Heureux,n.d.,Roméo Turcotte,Carottage minier,Non,,Saint-Hyacinthe,Montérégie,Saint-Hyacinthe
A117,"Seaway Almega No 9, Saint-Maurice",1959,A-Basses-Terres (sols consolidés),209,Saint-Jean (côté Sud-Est),,Saint-Maurice,,"46° 28' 09,1""",46.469194,"72° 31' 43,4""",-72.528722,31I07,32355,1006 pi/KB,306.63,142.0 pi/mer,43.28,145.0 pi/mer,44.2,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Seaway Gas & Oil Ltd.,n.d.,Seaway Gas & Oil Ltd.,n.d.,Robert McMaster & Sons,Câble,Non,,Saint-Maurice,Mauricie,Saint-Louis-de-France
A118,"Senneterre métal, Gélinas No 1, Sainte-Angèle",1961,A-Basses-Terres (sols consolidés),12,Grande Rivière,Seigneurie de Bécancour,Sainte-Angèle-de-Laval,Comté de Nicolet,"46° 21' 26,2""",46.357278,"72° 28' 00,2""",-72.466722,31I08,30759,703 pi/sol,214.27,n.d.,n.d.,n.d.,n.d.,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Senneterre Metals Mines Ltd.,n.d.,Senneterre Metals Mines Ltd.,n.d.,Antonio Dubé,Câble,Non,,Bécancour,Centre-du-Québec,Bécancour
A119,"Senneterre métal, Gélinas No 2, Sainte-Angèle",1961,A-Basses-Terres (sols consolidés),12,Grande Rivière,Seigneurie de Bécancour,Sainte-Angèle-de-Laval,Comté de Nicolet,"46° 21' 25,0""",46.356944,"72° 28' 09,1""",-72.469194,31I08,30759,767 pi/sol,233.78,21.0 pi/mer,6.4,n.d.,n.d.,Suspension,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Senneterre Metals Mines Ltd.,n.d.,Senneterre Metals Mines Ltd.,n.d.,Samson & Frères Inc.,Câble & rotative,Non,,Bécancour,Centre-du-Québec,Bécancour
A120,Senigon No 1,1942,A-Basses-Terres (sols consolidés),136,,,Saint-Thomas,,"45° 05' 33,1""",45.092528,"73° 15' 38,5""",-73.260694,31H03,4623,2296 pi/KB,699.82,119.0 pi/mer,36.27,121.0 pi/mer,36.88,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Vicomte Roger de Roumefort,n.d.,Napoleon Morrissette Diamond Drilling,Carottage minier,Non,,Noyan,Montérégie,Henryville
A121,South Shore No 1,1931,A-Basses-Terres (sols consolidés),543,,,Visitation,,"46° 06' 35,1""",46.10975,"72° 33' 33,4""",-72.559278,31I02,6713,3200 pi/KB,975.36,149.0 pi/mer,45.42,151.0 pi/mer,46.02,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,South Shore Oil Lands Ltd.,n.d.,South Shore Oil Lands Ltd.,n.d.,,Câble,Non,,La Visitation-de-Yamaska,Centre-du-Québec,Saint-Léonard-d'Aston
A122,South Shore No 2,1932,A-Basses-Terres (sols consolidés),541,,,Visitation,,"46° 06' 39,1""",46.110861,"72° 33' 51,4""",-72.564278,31I02,6713,4404 pi/KB,1342.34,99.0 pi/mer,30.18,101.0 pi/mer,30.78,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,South Shore Oil Lands Ltd.,n.d.,South Shore Oil Lands Ltd.,n.d.,South Shore Oil Lands Ltd.,Câble,Non,,La Visitation-de-Yamaska,Centre-du-Québec,Nicolet
A123,Trudel,1885,A-Basses-Terres (sols consolidés),501,,,Saint-Grégoire,,"46° 13' 11,1""",46.21975,"72° 30' 33,4""",-72.509278,31I02,n.d.,1115 pi/KB,339.85,129.0 pi/mer,39.32,131.0 pi/mer,39.93,Forage,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,n.d.,n.d.,Mr. Poirier,n.d.,,Câble,Non,,Bécancour,Centre-du-Québec,Nicolet
A124,Oka No 1,1954,A-Basses-Terres (sols consolidés),248,Côte Saint-Jean,,Saint-Placide,,"45° 31' 30,1""",45.525028,"74° 08' 30,0""",-74.141667,31G09,72960,1660 pi/sol,505.97,21.0 pi/mer,6.4,n.d.,n.d.,Forage,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Oka Oil Company Limited,n.d.,Oka Oil Company Limited,n.d.,S. Groleau Bros. Ltd.,Rotative,Non,,Saint-Placide,Laurentides,Kanesatake
A125,"Laduboro C.I.G. No 1, Nicolet",1963,A-Basses-Terres (sols consolidés),555,Bout de la Baie,Seigneurie de Bécancour,Saint-Jean-Baptiste-de-Nicolet,Comté de Nicolet,"46° 11' 27,5""",46.190972,"72° 37' 33,5""",-72.625972,31I02,188,4164 pi/KB,1269.19,89.0 pi/mer,27.13,100.0 pi/mer,30.48,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Laduboro Oil Ltd.,n.d.,Laduboro Oil Ltd.,Gravity log,Union Rotary Drillers Ltd.,Rotative,Non,,Nicolet,Centre-du-Québec,Nicolet
A126,"Laduboro QIG et al No 1, Yamaska",1963,A-Basses-Terres (sols consolidés),423,,,Saint-Antoine-de-la-Baie-du-Febvre,,"46° 09' 14,1""",46.153917,"72° 40' 38,6""",-72.677389,31I02,168,4407 pi/KB,1343.25,96.0 pi/mer,29.26,109.0 pi/mer,33.22,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Laduboro Oil Ltd.,Quebec Industial Gas Ltd,Laduboro Oil Ltd.,n.d.,Union Rotary Drillers Ltd.,Rotative,Oui,,Baie-du-Febvre,Centre-du-Québec,Nicolet
A127,"Laduboro Bald Mountain Intercity No 1, Trois-Rivières",1964,A-Basses-Terres (sols consolidés),16,,,Trois-Rivières,,"46° 20' 39,1""",46.344194,"72° 35' 13,4""",-72.587056,31I07,163,1715 pi/KB,522.73,63.0 pi/mer,19.2,67.0 pi/mer,20.42,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Laduboro Oil Ltd.,Bald Mountain & Intercity Propane,Laduboro Oil Ltd.,n.d.,Samson & Frères Inc.,Rotative,Non,,Trois-Rivières,Mauricie,Trois-Rivières
A128,"Laduboro Bald Mountain-Intercity No 2, Trois-Rivières",1964,A-Basses-Terres (sols consolidés),143,,,Trois-Rivières,,"46° 20' 08,1""",46.335583,"72° 36' 37,4""",-72.610389,31I07,163,1770 pi/KB,539.5,200.0 pi/mer,60.96,204.0 pi/mer,62.18,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Laduboro Oil Ltd.,Bald Mountain & Intercity Propane,Laduboro Oil Ltd.,n.d.,Big Indian Drilling Co.,Rotative,Non,,Trois-Rivières,Mauricie,Trois-Rivières
A129,"Laduboro Bald Mountain-Intercity No 1, Pointe-du-Lac",1964,A-Basses-Terres (sols consolidés),127,Grand Chemin,,Pointe-du-Lac,Comté de Saint-Maurice,"46° 17' 22,2""",46.2895,"72° 42' 23,2""",-72.706444,31I07,163,2405 pi/KB,733.04,17.0 pi/mer,5.18,27.0 pi/mer,8.23,Complétion,n.d.,Complété\observation,Complété,observation,Puits d'observation,Laduboro Oil Ltd. et Intragaz,Bald Mountain & Intercity Propane,Laduboro Oil Ltd.,n.d.,Big Indian Drilling Co.,Rotative,Non,,Fleuve Saint-Laurent,Mauricie,Pointe-du-Lac
A130,"Laduboro Verchères Saint-Pierre No 22, Pointe-du-Lac",1964,A-Basses-Terres (sols consolidés),354,Saint-Charles,,Pointe-du-Lac,,"46° 18' 24,5""",46.306806,"72° 41' 58,9""",-72.699694,31I07,166,1585 pi/KB,483.11,89.0 pi/mer,27.13,98.0 pi/mer,29.87,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,"SOQUIP,Corp.des Gaz et Pétrole du Lac St-Pierre",n.d.,"SOQUIP,Corp.des Gaz et Pétr du Lac St-Pierre",n.d.,Big Indian Drilling Co. et Foragaz,Rotative,Non,,Trois-Rivières,Mauricie,Pointe-du-Lac
A131,"Verchères No 1, Louiseville",1964,A-Basses-Terres (sols consolidés),350,,,Saint-Antoine-de-la-Rivière-du-Loup,,"46° 14' 42,0""",46.245,"72° 57' 46,2""",-72.962833,31I02,165,650 pi/KB,198.12,30.0 pi/mer,9.14,34.0 pi/mer,10.36,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Verchères Ore Oil Corporation,n.d.,Verchères Ore Oil Corporation,n.d.,Samson & Frères Inc.,Rotative,Non,,Louiseville,Mauricie,Louiseville
A132,"Québec Natural Gas No 2, Saint-François-de-Sales",1964,A-Basses-Terres (sols consolidés),181,,,Saint-François-de-Sales,,"45° 39' 46,1""",45.662806,"73° 41' 34,5""",-73.692917,31H12,200,735 pi/sol,224.03,105.0 pi/mer,32.0,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,Laval,Laval,Terrebonne
A133,Gélinas No 5,1963,A-Basses-Terres (sols consolidés),12,Grande Rivière,Seigneurie de Bécancour,Sainte-Angèle-de-Laval,Comté de Nicolet,"46° 21' 25,0""",46.356944,"72° 28' 09,5""",-72.469306,31I08,30759,976 pi/---,297.48,n.d.,n.d.,n.d.,n.d.,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Robert Gélinas,n.d.,Robert Gélinas,n.d.,St. Lawrence Drilling Co.,Rotative,Non,,Bécancour,Centre-du-Québec,Bécancour
A134,"Québec Natural Gas No 10, Saint-Vincent-de-Paul",1965,A-Basses-Terres (sols consolidés),339,Côte Saint-François,,Saint-Vincent-de-Paul,,"45° 39' 42,1""",45.661694,"73° 38' 29,5""",-73.641528,31H12,200,1504 pi/KB,458.42,126.0 pi/mer,38.4,132.0 pi/mer,40.23,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,James Drilling Ltd.,Rotative,Oui,,Laval,Laval,Terrebonne
A135,"Québec Natural Gas No 11, Saint-Vincent-de-Paul",1965,A-Basses-Terres (sols consolidés),397,Côte Saint-François,,Saint-Vincent-de-Paul,,"45° 38' 34,1""",45.642806,"73° 40' 07,5""",-73.66875,31H12,200,1518 pi/KB,462.69,111.0 pi/mer,33.83,118.0 pi/mer,35.97,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,James Drilling Ltd.,Rotative,Non,,Laval,Laval,Terrebonne
A136,"Québec Natural Gas No 12, Saint-Vincent-de-Paul",1965,A-Basses-Terres (sols consolidés),377A,Côte Saint-François,,Saint-Vincent-de-Paul,,"45° 38' 52,1""",45.647806,"73° 39' 07,5""",-73.652083,31H12,200,1475 pi/KB,449.58,106.0 pi/mer,32.31,111.0 pi/mer,33.83,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Inspiration Mining and Development Co. Ltd.,Carottage minier,Non,,Laval,Laval,Terrebonne
A137,"Québec Natural Gas No 13, Saint-Vincent-de-Paul",1965,A-Basses-Terres (sols consolidés),372,Côte Saint-François,,Saint-Vincent-de-Paul,,"45° 39' 13,1""",45.653639,"73° 38' 58,5""",-73.649583,31H12,200,1494 pi/KB,455.37,94.0 pi/mer,28.65,94.0 pi/mer,28.65,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,Laval,Laval,Terrebonne
A138,"Québec Natural Gas No 14, Saint-Vincent-de-Paul",1965,A-Basses-Terres (sols consolidés),339,Côte du Sud,,Saint-Vincent-de-Paul,,"45° 39' 10,1""",45.652806,"73° 37' 48,5""",-73.630139,31H12,200,1650 pi/KB,502.92,70.0 pi/mer,21.34,72.0 pi/mer,21.95,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,Laval,Laval,Terrebonne
A139,"Québec Natural Gas No 9, Saint-François-de-Sales",1965,A-Basses-Terres (sols consolidés),145,Côte du Nord,,Saint-François-de-Sales,,"45° 39' 54,1""",45.665028,"73° 39' 19,5""",-73.655417,31H12,200,1648 pi/KB,502.31,123.0 pi/mer,37.49,125.0 pi/mer,38.1,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Oui,,Laval,Laval,Terrebonne
A140,"Québec Natural Gas No 10, Saint-François-de-Sales",1965,A-Basses-Terres (sols consolidés),104,Côte du Nord,Seigneurie de l'Île-Jésus,Saint-François-de-Sales,Comté de Laval,"45° 40' 06,1""",45.668361,"73° 38' 20,5""",-73.639028,31H12,200,1562 pi/KB,476.1,116.0 pi/mer,35.36,118.0 pi/mer,35.97,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,Laval,Laval,Terrebonne
A141,"Québec Natural Gas No 1, L'Épiphanie",1965,A-Basses-Terres (sols consolidés),143,,,Épiphanie,,"45° 50' 55,1""",45.848639,"73° 30' 13,5""",-73.50375,31H13,201,653 pi/KB,199.03,73.0 pi/mer,22.25,78.0 pi/mer,23.77,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Inspiration Mining and Development Co. Ltd.,Carottage minier,Non,,L'Épiphanie,Lanaudière,L'Épiphanie
A142,"Québec Natural Gas No 2, L'Épiphanie",1965,A-Basses-Terres (sols consolidés),12,Côte Saint-Charles,Seigneurie de Saint-Sulpice,Épiphanie,Comté de l'Assomption,"45° 50' 20,1""",45.838917,"73° 29' 36,5""",-73.493472,31H14,201,774 pi/KB,235.92,76.0 pi/mer,23.16,79.0 pi/mer,24.08,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Inspiration Mining and Development Co. Ltd.,Carottage minier,Non,,L'Épiphanie,Lanaudière,L'Épiphanie
A143,"Senneterre No 2, Saint-Grégoire",1965,A-Basses-Terres (sols consolidés),505,,,Saint-Grégoire,,"46° 13' 31,1""",46.225306,"72° 30' 27,4""",-72.507611,31I02,186,968 pi/sol,295.05,n.d.,n.d.,n.d.,n.d.,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Senneterre Metals Gas & Oil Ltd.,n.d.,Senneterre Metals Gas & Oil Ltd.,n.d.,Sixty-Five Development Ltd.,Carottage minier,Non,,Bécancour,Centre-du-Québec,Nicolet
A144,"Louvicourt No 5, L'Assomption",1965,A-Basses-Terres (sols consolidés),93,,,Assomption,,"45° 53' 05,1""",45.88475,"73° 22' 30,5""",-73.375139,31H14,203,1552 pi/KB,473.05,69.0 pi/mer,21.03,72.0 pi/mer,21.95,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Louvicourt Goldfield Corporation,n.d.,Louvicourt Goldfield Corporation,n.d.,Sixty-Five Development Ltd.,Rotative,Non,,L'Assomption,Lanaudière,L'Assomption
A145,"Louvicourt No 7, L'Assomption",1965,A-Basses-Terres (sols consolidés),84,,,Assomption,,"45° 52' 48,1""",45.880028,"73° 22' 43,5""",-73.37875,31H14,203,1349 pi/KB,411.18,69.0 pi/mer,21.03,72.0 pi/mer,21.95,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Louvicourt Goldfield Corporation,n.d.,Louvicourt Goldfield Corporation,n.d.,Sixty-Five Development Ltd.,Carottage minier,Non,,L'Assomption,Lanaudière,L'Assomption
A146,"Québec Natural Gas No 1, Saint-Gérard-Magella",1966,A-Basses-Terres (sols consolidés),348,,,Saint-Gérard-Sainte-Magella,,"45° 54' 54,1""",45.915028,"73° 27' 26,5""",-73.457361,31H14,201,767 pi/KB,233.78,100.0 pi/mer,30.48,103.0 pi/mer,31.39,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,L'Assomption,Lanaudière,Crabtree
A147,"Québec Natural Gas No 2, Saint-Gérard-Magella",1966,A-Basses-Terres (sols consolidés),348,,,Saint-Gérard-Sainte-Magella,,"45° 54' 33,1""",45.909194,"73° 26' 56,5""",-73.449028,31H14,201,828 pi/KB,252.37,117.0 pi/mer,35.66,120.0 pi/mer,36.58,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,L'Assomption,Lanaudière,Crabtree
A148,"Québec Natural Gas No 3, Saint-Gérard-Magella",1966,A-Basses-Terres (sols consolidés),349,,,Saint-Gérard-Sainte-Magella,,"45° 54' 09,1""",45.902528,"73° 26' 25,5""",-73.440417,31H14,201,858 pi/KB,261.52,73.0 pi/mer,22.25,76.0 pi/mer,23.16,Suspension,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,Canadian LongYear Ltd.,Carottage minier,Non,,L'Assomption,Lanaudière,L'Épiphanie
A149,"Québec Natural Gas No 15, Saint-Vincent-de-Paul",1966,A-Basses-Terres (sols consolidés),339,,,Saint-Vincent-de-Paul,,"45° 39' 40,1""",45.661139,"73° 38' 32,5""",-73.642361,31H12,200,1301 pi/KB,396.54,123.0 pi/mer,37.49,126.0 pi/mer,38.4,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,McMaster Drilling Ltd.,Câble,Non,,Laval,Laval,Terrebonne
A150,"Québec Natural Gas No 16, Saint-Vincent-de-Paul",1966,A-Basses-Terres (sols consolidés),338,,,Saint-Vincent-de-Paul,,"45° 39' 39,1""",45.660861,"73° 38' 38,5""",-73.644028,31H12,200,1503 pi/KB,458.11,125.0 pi/mer,38.1,127.0 pi/mer,38.71,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Quebec Natural Gas Company,n.d.,Quebec Natural Gas Company,n.d.,McMaster Drilling Ltd.,Câble,Non,,Laval,Laval,Terrebonne
A151,Louvicourt - Métal l'Assomption No 8,1966,A-Basses-Terres (sols consolidés),84,,,Assomption,,"45° 52' 46,1""",45.879472,"73° 22' 43,5""",-73.37875,31H14,203,2615 pi/KB,797.05,53.0 pi/mer,16.15,57.0 pi/mer,17.37,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Louvicourt Goldfield Corporation,n.d.,Louvicourt Goldfield Corporation,n.d.,McMaster Drilling Ltd.,Câble,Oui,,L'Assomption,Lanaudière,L'Assomption
A152,"Shell, Saint-Simon No 1",1968,A-Basses-Terres (sols consolidés),421,Ste-Charlotte,,Saint-Simon-de-Ramsay,,"45° 43' 14,0""",45.720556,"72° 48' 07,3""",-72.802028,31H10,197,11003 pi/KB,3353.71,197.0 pi/mer,60.05,212.0 pi/mer,64.62,Évaluation,n.d.,Évaluation,Évaluation,,Puits d'exploration «Wildcat»,Shell Canada Limited,n.d.,Shell Canada Limited,Ligne sismique,Peter Bawden Drilling Services Ltd.,Rotative,Oui,2008-10-27,Saint-Simon,Montérégie,Saint-Liboire
A152-R1,"Shell, Saint-Simon No 1",2005,A-Basses-Terres (sols consolidés),421,Ste-Charlotte,,Saint-Simon-de-Ramsay, ,"45° 43' 14,0""",45.720556,"72° 48' 07,3""",-72.802028,31H10-0201,2003PG761,2580 m/KB,2580.0,60.0 m/KB,60.0,63.0 m/KB,63.0,Évaluation,n.d.,Évaluation,Évaluation,,Puits d'exploration «Wildcat»,Junex Inc.,n.d.,Junex Inc.,Ligne sismique 89-TQ-D01 (point de tir #40),Foragaz Inc.,Rotative,Non,2008-10-27,Saint-Simon,Montérégie,Saint-Liboire
A153,"Laduboro No 6, La Baie Yamaska",1969,A-Basses-Terres (sols consolidés),607,,,Saint-Joseph-de-la-Baie-du-Febvre,,"46° 07' 18,1""",46.121694,"72° 43' 59,4""",-72.733167,31I02,243,3790 pi/KB,1155.19,68.0 pi/mer,20.73,70.0 pi/mer,21.34,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Laduboro Oil Ltd.,n.d.,Laduboro Oil Ltd.,Ligne sismique,Canadian Eastern Oil & Gas Drilling Ltd.,Câble,Non,,Baie-du-Febvre,Centre-du-Québec,Pierreville
