Numéro du puits,Nom du puits,Année forage,Région géologique,Lot,Rang,Canton,Paroisse,Localisation,Latitude (NAD83),Latitude (décimal),Longitude (NAD83),Longitude (décimal),No carte,No permis,Profondeur,Profondeur (en m),Elévation sol,Élévation (en m),Élévation table rotation,Élévation de la table de rotation (en m),Dernière activité de puits,Dernière phase de puits,Statut puits,État du puits,Contenu du puits,Type puits,Détenteur,Partenaires,Opérateur,Implanté sur,Entreprise forage,Type foreuse,Log composite,Confidentiel jusqu'au,Municipalité,Région administrative,Localité
A010,"Bald Mountain, Cap-Santé No 2",1958,A-Basses-Terres (sols consolidés),210,,,Cap-Santé,,"46° 41' 48,1""",46.696694,"71° 47' 15,4""",-71.787611,21L12,30783,852 pi/KB,259.69,236.0 pi/mer,71.93,238.0 pi/mer,72.54,Abandon,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Antonio Dubé,Câble,Non,,Cap-Santé,Capitale-Nationale,Cap-Santé
A011,"Bald Mountain, La Pérade No 2",1957,A-Basses-Terres (sols consolidés),462,Premier (nord rivière Sainte-Anne),,Sainte-Anne de la Pérade,,"46° 36' 29,1""",46.608083,"72° 12' 28,4""",-72.207889,31I09,30781,450 pi/sol,137.16,44.0 pi/mer,13.41,n.d.,n.d.,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Antonio Dubé,Câble,Non,,Sainte-Anne-de-la-Pérade,Mauricie,Sainte-Anne-de-la-Pérade
A012,"Bald Mountain, Louiseville No 1",1957,A-Basses-Terres (sols consolidés),375,,,Saint-Antoine-de-la-Rivière-du-Loup-de-Louiseville,,"46° 13' 55,1""",46.231972,"72° 56' 30,4""",-72.941778,31I02,30780,819 pi/KB,249.63,24.0 pi/mer,7.32,26.0 pi/mer,7.92,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Logan Brothers Diamond Drilling Ltd.,Carottage minier,Non,,Louiseville,Mauricie,Louiseville
A013,"Bald Mountain, Louiseville No 2",1957,A-Basses-Terres (sols consolidés),375,,,Saint-Antoine-de-la-Rivière-du-Loup-de-Louiseville,,"46° 13' 55,1""",46.231972,"72° 56' 30,4""",-72.941778,31I02,30780,1218 pi/KB,371.25,25.0 pi/mer,7.62,27.0 pi/mer,8.23,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,Câble,Oui,,Louiseville,Mauricie,Louiseville
A014,"Bald Mountain, Saint-Roch No 1",1957,A-Basses-Terres (sols consolidés),81,,,Saint-Roch-de-Richelieu,,"45° 55' 58,1""",45.932806,"73° 10' 43,5""",-73.17875,31H14,30778,4392 pi/KB,1338.68,65.0 pi/mer,19.81,67.0 pi/mer,20.42,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Logan Brothers Diamond Drilling Ltd.,Carottage minier,Non,,Saint-Roch-de-Richelieu,Montérégie,Lanoraie
A015,"Bald Mountain, Portneuf No 1",1957,A-Basses-Terres (sols consolidés),3,1,,Deschambault,,"46° 40' 59,1""",46.683083,"71° 55' 17,4""",-71.9215,21L12,30782,1387 pi/KB,422.76,129.0 pi/mer,39.32,131.0 pi/mer,39.93,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Logan Brothers Diamond Drilling Ltd.,Carottage minier,Non,,Deschambault-Grondines,Capitale-Nationale,Portneuf
A016,"Bald Mountain, Portneuf No 2",1957,A-Basses-Terres (sols consolidés),3,1,,Deschambault,,"46° 40' 58,1""",46.682806,"71° 55' 16,4""",-71.921222,21L12,30782,1387 pi/KB,422.76,128.0 pi/mer,39.01,130.0 pi/mer,39.62,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Robert McMaster & Sons,Câble,Non,,Deschambault-Grondines,Capitale-Nationale,Portneuf
A017,"Bald Mountain, Sainte-Geneviève-de-Batiscan No 2",1958,A-Basses-Terres (sols consolidés),532,,,Sainte-Geneviève-de-Batiscan,,"46° 31' 05,1""",46.518083,"72° 20' 43,4""",-72.345389,31I09,30781,1265 pi/KB,385.57,98.0 pi/mer,29.87,100.0 pi/mer,30.48,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Laduboro Oil Ltd.,n.d.,Antonio Dubé,Câble,Non,,Sainte-Geneviève-de-Batiscan,Mauricie,Sainte-Geneviève-de-Batiscan
A018,Bergeron,1889,A-Basses-Terres (sols consolidés),"420, 421 ou 422",,,Saint-Grégoire,,"46° 17' 00,0""",46.283333,"72° 28' 15,4""",-72.470944,31I08,n.d.,685 pi/sol,208.79,66.0 pi/mer,20.12,68.0 pi/mer,20.73,Forage,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,E. Bergeron,n.d.,,Câble,Non,,Bécancour,Centre-du-Québec,Bécancour
A019,Cadbury & Fry,1939,A-Basses-Terres (sols consolidés),,,,,"2025, Masson Street, Montréal","45° 32' 21,1""",45.539194,"73° 34' 55,5""",-73.582083,31H12,n.d.,1395 pi/KB,425.2,180.0 pi/mer,54.86,182.0 pi/mer,55.47,Forage,n.d.,Abandonné\sec,Abandonné,sec,Puits d'exploration «Wildcat»,n.d.,n.d.,Cadbury & Fry,n.d.,,Câble,Non,,Montréal,Montréal,Montréal
